0.00000, 24592
0.00885, 25376
0.01770, 44912
0.02655, 44960
0.03540, 53680
0.04425, 60416
0.05310, 29696
0.06195, 15856
0.07080, 61232
0.07965, 24400
0.08850, 22016
0.09735, 43984
0.10619, 41584
0.11504, 2944
0.12389, 51120
0.13274, 35472
0.14159, 6640
0.15044, 10336
0.15929, 21408
0.16814, 20768
0.17699, 40960
0.18584, 41152
0.19469, 12432
0.20354, 39952
0.21239, 39584
0.22124, 60656
0.23009, 23168
0.23894, 14032
0.24779, 21920
0.25664, 34096
0.26549, 44176
0.27434, 20960
0.28319, 32480
0.29204, 43568
0.30088, 52704
0.30973, 40608
0.31858, 6352
0.32743, 25648
0.33628, 26880
0.34513, 52112
0.35398, 24336
0.36283, 25392
0.37168, 44912
0.38053, 44992
0.38938, 53680
0.39823, 60432
0.40708, 29728
0.41593, 15824
0.42478, 61200
0.43363, 24704
0.44248, 22048
0.45133, 44288
0.46018, 41536
0.46903, 1504
0.47788, 51152
0.48673, 34832
0.49558, 6640
0.50442, 8544
0.51327, 21392
0.52212, 20752
0.53097, 40896
0.53982, 41008
0.54867, 12448
0.55752, 41184
0.56637, 39552
0.57522, 61856
0.58407, 23152
0.59292, 15008
0.60177, 21920
0.61062, 35056
0.61947, 44128
0.62832, 20160
0.63717, 32464
0.64602, 43168
0.65487, 52656
0.66372, 38640
0.67257, 6272
0.68142, 25104
0.69027, 26832
0.69912, 51008
0.70796, 24384
0.71681, 26064
0.72566, 44944
0.73451, 45696
0.74336, 53680
0.75221, 61776
0.76106, 29680
0.76991, 17120
0.77876, 61232
0.78761, 24688
0.79646, 22064
0.80531, 44288
0.81416, 41568
0.82301, 1568
0.83186, 51120
0.84071, 34832
0.84956, 6640
0.85841, 8544
0.86726, 21392
0.87611, 20752
0.88496, 40928
0.89381, 40960
0.90265, 12416
0.91150, 41168
0.92035, 39552
0.92920, 61856
0.93805, 23184
0.94690, 15008
0.95575, 21920
0.96460, 35024
0.97345, 44096
0.98230, 20208
0.99115, 32496
1.00000, 43200
1.00885, 52720
1.01770, 38656
1.02655, 6320
1.03540, 25136
1.04425, 26864
1.05310, 51024
1.06195, 24368
1.07080, 26048
1.07965, 44896
1.08850, 45696
1.09734, 53696
1.10619, 61744
1.11504, 29696
1.12389, 17104
1.13274, 61248
1.14159, 24640
1.15044, 22096
1.15929, 44272
1.16814, 41616
1.17699, 1552
1.18584, 51168
1.19469, 34864
1.20354, 6624
1.21239, 8560
1.22124, 21392
1.23009, 20768
1.23894, 40912
1.24779, 41008
1.25664, 12464
1.26549, 41184
1.27434, 39584
1.28319, 61872
1.29204, 23216
1.30088, 14992
1.30973, 21904
1.31858, 34976
1.32743, 44128
1.33628, 20192
1.34513, 31616
1.35398, 43200
1.36283, 51680
1.37168, 38688
1.38053, 5152
1.38938, 25136
1.39823, 25792
1.40708, 51072
1.41593, 24624
1.42478, 26064
1.43363, 44912
1.44248, 45696
1.45133, 53680
1.46018, 61776
1.46903, 29728
1.47788, 17120
1.48673, 61232
1.49557, 24720
1.50442, 22048
1.51327, 44304
1.52212, 41584
1.53097, 1536
1.53982, 51184
1.54867, 34832
1.55752, 6592
1.56637, 8544
1.57522, 21424
1.58407, 20784
1.59292, 40864
1.60177, 40976
1.61062, 12496
1.61947, 41200
1.62832, 39536
1.63717, 61904
1.64602, 23216
1.65487, 15024
1.66372, 21936
1.67257, 35008
1.68142, 44160
1.69027, 20160
1.69911, 32528
1.70796, 43216
1.71681, 52656
1.72566, 38672
1.73451, 6336
1.74336, 25152
1.75221, 26880
1.76106, 51024
1.76991, 24272
1.77876, 26064
1.78761, 44928
1.79646, 45712
1.80531, 53728
1.81416, 61776
1.82301, 29712
1.83186, 17088
1.84071, 61200
1.84956, 24704
1.85841, 22016
1.86726, 44288
1.87611, 41568
1.88496, 1520
1.89381, 51168
1.90265, 34816
1.91150, 6592
1.92035, 8608
1.92920, 21344
1.93805, 20784
1.94690, 40912
1.95575, 40992
1.96460, 12464
1.97345, 41200
1.98230, 39568
1.99115, 61840
2.00000, 23232
2.00885, 15024
2.01770, 21888
2.02655, 34976
2.03540, 44144
2.04425, 20160
2.05310, 32528
2.06195, 43184
2.07080, 52736
2.07965, 38704
2.08850, 6304
2.09734, 25120
2.10619, 26864
2.11504, 51040
2.12389, 24336
2.13274, 26048
2.14159, 44976
2.15044, 45680
2.15929, 53712
2.16814, 61728
2.17699, 29696
2.18584, 17104
2.19469, 61264
2.20354, 24720
2.21239, 22016
2.22124, 44288
2.23009, 41552
2.23894, 1552
2.24779, 51168
2.25664, 34848
2.26549, 6656
2.27434, 8576
2.28319, 21424
2.29204, 20752
2.30088, 40896
2.30973, 40992
2.31858, 12496
2.32743, 41184
2.33628, 39584
2.34513, 61856
2.35398, 23184
2.36283, 14992
2.37168, 21920
2.38053, 35040
2.38938, 44128
2.39823, 20160
2.40708, 32560
2.41593, 43168
2.42478, 52704
2.43363, 38688
2.44248, 6304
2.45133, 25088
2.46018, 26880
2.46903, 50992
2.47788, 24384
2.48672, 26032
2.49557, 44896
2.50442, 45680
2.51327, 53696
2.52212, 61744
2.53097, 29744
2.53982, 17088
2.54867, 61216
2.55752, 24672
2.56637, 22032
2.57522, 44240
2.58407, 41600
2.59292, 1536
2.60177, 51120
2.61062, 34784
2.61947, 6608
2.62832, 8576
2.63717, 21440
2.64602, 20752
2.65487, 40928
2.66372, 40992
2.67257, 12480
2.68142, 41232
2.69026, 39568
2.69911, 61888
2.70796, 23184
2.71681, 14992
2.72566, 21872
2.73451, 35056
2.74336, 44160
2.75221, 20176
2.76106, 32512
2.76991, 43168
2.77876, 52752
2.78761, 38688
2.79646, 6320
2.80531, 25136
2.81416, 26896
2.82301, 51024
2.83186, 24336
2.84071, 26016
2.84956, 44928
2.85841, 45648
2.86726, 53664
2.87611, 61728
2.88496, 29072
2.89380, 17120
2.90265, 59776
2.91150, 24720
